RecordID	RID	Squib	ReferenceReaction
39828	17121	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A8B12938BAA182E842A971FA52A31F3D?id=1977FUJ/GAU544:1	Cyclohexane-d12 + H· → HD + Cyclohexyl-d11
39832	17123	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B920466BDFFF15935C02D930D8E252C3?id=1971FER/WHI2618:4	n-C4H10 + Br· → sec-C4H9 + HBr
39833	17123	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B920466BDFFF15935C02D930D8E252C3?id=1971FER/WHI2618:5	Cyclopentane + Br· → Cyclopentyl + HBr
39834	17123	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B920466BDFFF15935C02D930D8E252C3?id=1971FER/WHI2618:6	Cycloheptane + Br· → Cycloheptyl + HBr
39860	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=2004LI592-600:2	1,4-Dioxane + ·OH → C4H7(·)O2 + H2O
39861	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1992ATK/ASC983-989:2	n-C4H10 + ·OH → Other Products + H2O
39862	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1989GUL/WAL1799-1812:2	H2 + ·OH → H2O + H·
39863	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1989ATK/ASC355-365:14	CH3CH=CH2 + ·OH → Products
39864	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1982ATK/ASC507:12	1-C6H14 + ·OH → Products
39865	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1976WU/JAP191:6	(Z)-2-C4H8 + ·OH → Products
39866	17128	http://kinetics.nist.gov/kinetics/Detail;jsessionid=CE875167306AEA8550A6C7C59BA8C4C1?id=1974GOR/VOL115:8	CO + ·OH → CO2 + H·
